TABLE_NAME	COLUMN_NAME	DATA_TYPE	IS_NULLABLE	COLUMN_KEY	Parent_Table	Parent_Column
account	AccountNum	bigint	NO	PRI		
account	Description	varchar	NO			
account	AcctType	tinyint	NO			
account	BankNumber	varchar	NO			
account	Inactive	tinyint	NO			
account	AccountColor	int	NO			
account	IsRetainedEarnings	tinyint	NO			
accountingautopay	AccountingAutoPayNum	bigint	NO	PRI		
accountingautopay	PayType	bigint	NO			
accountingautopay	PickList	varchar	YES			
activeinstance	ActiveInstanceNum	bigint	NO	PRI		
activeinstance	ComputerNum	bigint	NO	MUL		
activeinstance	UserNum	bigint	NO	MUL		
activeinstance	ProcessId	bigint	NO	MUL		
activeinstance	DateTimeLastActive	datetime	NO			
activeinstance	DateTRecorded	datetime	NO			
activeinstance	ConnectionType	tinyint	NO			
adjustment	AdjNum	bigint	NO	PRI		
adjustment	AdjDate	date	NO	MUL		
adjustment	AdjAmt	double	NO			
adjustment	PatNum	bigint	NO	MUL		
adjustment	AdjType	bigint	NO			
adjustment	ProvNum	bigint	NO	MUL		
adjustment	AdjNote	text	YES			
adjustment	ProcDate	date	NO			
adjustment	ProcNum	bigint	NO	MUL		
adjustment	DateEntry	date	NO			
adjustment	ClinicNum	bigint	NO	MUL		
adjustment	StatementNum	bigint	NO	MUL		
adjustment	SecUserNumEntry	bigint	NO	MUL		
adjustment	SecDateTEdit	timestamp	NO	MUL		
adjustment	TaxTransID	bigint	NO	MUL		
alertcategory	AlertCategoryNum	bigint	NO	PRI		
alertcategory	IsHQCategory	tinyint	NO			
alertcategory	InternalName	varchar	NO			
alertcategory	Description	varchar	NO			
alertcategorylink	AlertCategoryLinkNum	bigint	NO	PRI		
alertcategorylink	AlertCategoryNum	bigint	NO	MUL		
alertcategorylink	AlertType	tinyint	NO			
alertitem	AlertItemNum	bigint	NO	PRI		
alertitem	ClinicNum	bigint	NO	MUL		
alertitem	Description	varchar	NO			
alertitem	Type	tinyint	NO			
alertitem	Severity	tinyint	NO			
alertitem	Actions	tinyint	NO			
alertitem	FormToOpen	tinyint	NO			
alertitem	FKey	bigint	NO	MUL		
alertitem	ItemValue	varchar	NO			
alertitem	UserNum	bigint	NO	MUL		
alertitem	SecDateTEntry	datetime	NO			
alertread	AlertReadNum	bigint	NO	PRI		
alertread	AlertItemNum	bigint	NO	MUL		
alertread	UserNum	bigint	NO	MUL		
alertsub	AlertSubNum	bigint	NO	PRI		
alertsub	UserNum	bigint	NO	MUL		
alertsub	ClinicNum	bigint	NO	MUL		
alertsub	Type	tinyint	NO			
alertsub	AlertCategoryNum	bigint	NO	MUL		
allergy	AllergyNum	bigint	NO	PRI		
allergy	AllergyDefNum	bigint	NO	MUL		
allergy	PatNum	bigint	NO	MUL		
allergy	Reaction	varchar	NO			
allergy	StatusIsActive	tinyint	NO			
allergy	DateTStamp	timestamp	NO			
allergy	DateAdverseReaction	date	NO			
allergy	SnomedReaction	varchar	NO			
allergydef	AllergyDefNum	bigint	NO	PRI		
allergydef	Description	varchar	NO			
allergydef	IsHidden	tinyint	NO			
allergydef	DateTStamp	timestamp	NO			
allergydef	SnomedType	tinyint	YES			
allergydef	MedicationNum	bigint	NO	MUL		
allergydef	UniiCode	varchar	NO			
apikey	APIKeyNum	bigint	NO	PRI		
apikey	CustApiKey	varchar	NO			
apikey	DevName	varchar	NO			
apisubscription	ApiSubscriptionNum	bigint	NO	PRI		
apisubscription	EndPointUrl	varchar	NO			
apisubscription	Workstation	varchar	NO			
apisubscription	CustomerKey	varchar	NO			
apisubscription	WatchTable	varchar	NO			
apisubscription	PollingSeconds	int	NO	MUL		
apisubscription	UiEventType	varchar	NO			
apisubscription	DateTimeStart	datetime	NO			
apisubscription	DateTimeStop	datetime	NO			
apisubscription	Note	varchar	NO			
appointment	AptNum	bigint	NO	PRI		
appointment	PatNum	bigint	NO	MUL		
appointment	AptStatus	tinyint	NO	MUL		
appointment	Pattern	varchar	YES			
appointment	Confirmed	bigint	NO			
appointment	TimeLocked	tinyint	NO			
appointment	Op	bigint	NO	MUL		
appointment	Note	text	YES			
appointment	ProvNum	bigint	NO	MUL		
appointment	ProvHyg	bigint	NO	MUL		
appointment	AptDateTime	datetime	NO	MUL		
appointment	NextAptNum	bigint	NO	MUL		
appointment	UnschedStatus	bigint	NO	MUL		
appointment	IsNewPatient	tinyint	NO			
appointment	ProcDescript	text	YES			
appointment	Assistant	bigint	NO			
appointment	ClinicNum	bigint	NO	MUL		
appointment	IsHygiene	tinyint	NO			
appointment	DateTStamp	timestamp	NO	MUL		
appointment	DateTimeArrived	datetime	NO	MUL		
appointment	DateTimeSeated	datetime	NO			
appointment	DateTimeDismissed	datetime	NO			
appointment	InsPlan1	bigint	NO	MUL		
appointment	InsPlan2	bigint	NO	MUL		
appointment	DateTimeAskedToArrive	datetime	NO			
appointment	ProcsColored	text	NO			
appointment	ColorOverride	int	NO			
appointment	AppointmentTypeNum	bigint	NO	MUL		
appointment	SecUserNumEntry	bigint	NO	MUL		
appointment	SecDateTEntry	datetime	NO			
appointment	Priority	tinyint	NO	MUL		
appointment	ProvBarText	varchar	NO			
appointment	PatternSecondary	varchar	NO			
appointment	SecurityHash	varchar	NO			
appointment	ItemOrderPlanned	int	NO			
appointmentrule	AppointmentRuleNum	bigint	NO	PRI		
appointmentrule	RuleDesc	varchar	YES			
appointmentrule	CodeStart	varchar	YES			
appointmentrule	CodeEnd	varchar	YES			
appointmentrule	IsEnabled	tinyint	NO			
appointmenttype	AppointmentTypeNum	bigint	NO	PRI		
appointmenttype	AppointmentTypeName	varchar	NO			
appointmenttype	AppointmentTypeColor	int	NO			
appointmenttype	ItemOrder	int	NO			
appointmenttype	IsHidden	tinyint	NO			
